0:0:0:0:0:0:0:1 - - [15/Dec/2024:20:57:40 +0100] "GET /TW_Matrici/styles/default.css HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [15/Dec/2024:20:57:40 +0100] "GET /TW_Matrici/scripts/utils.js HTTP/1.1" 200 3610
0:0:0:0:0:0:0:1 - - [15/Dec/2024:20:57:40 +0100] "GET /TW_Matrici/scripts/websocket.js HTTP/1.1" 404 404
0:0:0:0:0:0:0:1 - - [15/Dec/2024:20:57:40 +0100] "GET /TW_Matrici/scripts/wsocket_2.js HTTP/1.1" 200 3500
0:0:0:0:0:0:0:1 - - [15/Dec/2024:20:57:40 +0100] "GET /TW_Matrici/actions2 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:20:57:40 +0100] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [15/Dec/2024:20:58:12 +0100] "GET /TW_Matrici/ HTTP/1.1" 200 1911
0:0:0:0:0:0:0:1 - - [15/Dec/2024:20:58:15 +0100] "GET /TW_Matrici/styles/default.css HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [15/Dec/2024:20:58:15 +0100] "GET /TW_Matrici/scripts/utils.js HTTP/1.1" 200 3610
0:0:0:0:0:0:0:1 - - [15/Dec/2024:20:58:15 +0100] "GET /TW_Matrici/scripts/websocket.js HTTP/1.1" 404 404
